"CID","CanonicalSMILES","IUPACName","Title","MolecularFormula","MolecularWeight","XLogP","HBondDonorCount","HBondAcceptorCount"
1,"CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","3-acetyloxy-4-(trimethylazaniumyl)butanoate","Acetylcarnitine","C9H17NO4",203.24,0.4,0,4
2,"CC(=O)OC(CC(=O)O)C[N+](C)(C)C","(2-acetyloxy-3-carboxypropyl)-trimethylazanium","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt","C9H18NO4+",204.24,-0.3,1,4
3,"C1=CC(C(C(=C1)C(=O)O)O)O","5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid","2,3-Dihydroxy-2,3-dihydrobenzoic acid","C7H8O4",156.14,-0.300,3,4
4,"CC(CN)O","1-aminopropan-2-ol","1-Aminopropan-2-ol","C3H9NO",75.11,-1.000,2,2
5,"C(C(=O)COP(=O)(O)O)N","(3-amino-2-oxopropyl) dihydrogen phosphate","3-Amino-2-oxopropyl phosphate","C3H8NO5P",169.07,-5.0,3,6
6,"C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl","1-chloro-2,4-dinitrobenzene","1-Chloro-2,4-dinitrobenzene","C6H3ClN2O4",202.55,2.300,0,4
7,"CCN1C=NC2=C(N=CN=C21)N","9-ethylpurin-6-amine","9-Ethyladenine","C7H9N5",163.18,0.200,1,4
8,"CCC(C)(C(C(=O)O)O)O","2,3-dihydroxy-3-methylpentanoic acid","2,3-Dihydroxy-3-methylpentanoic acid","C6H12O4",148.16,-0.4,3,4
9,"C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O","(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate","(2,3,4,5,6-Pentahydroxycyclohexyl) dihydrogen phosphate","C6H13O9P",260.14,-4.8,7,9
10,"C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methyl-formylamino]benzoyl]amino]pentanedioic acid","","C20H23N7O7",473.4,-1.2,7,9
11,"C(CCl)Cl","1,2-dichloroethane","1,2-Dichloroethane","C2H4Cl2",98.96,1.500,0,0
12,"C1=C(C=C(C(=C1O)O)O)O","benzene-1,2,3,5-tetrol","1,2,3,5-Tetrahydroxybenzene","C6H6O4",142.11,0.800,4,4
13,"C1=CC(=C(C=C1Cl)Cl)Cl","1,2,4-trichlorobenzene","1,2,4-Trichlorobenzene","C6H3Cl3",181.4,4.000,0,0
14,"CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O","7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid","7-[3-Hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid","C20H32O5",352.5,3.100,2,5
15,"CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C","17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one","17-Hydroxyandrostan-3-one","C19H30O2",290.4,3.700,1,2
16,"C1CCC(=O)NCCCCCC(=O)NCC1","1,8-diazacyclotetradecane-2,9-dione","1,8-Diazacyclotetradecane-2,9-dione","C12H22N2O2",226.32,0.6,2,2
17,"C1C=CC(=NC1C(=O)O)C(=O)O","2,3-dihydropyridine-2,6-dicarboxylic acid","2,3-Dihydropyridine-2,6-dicarboxylic acid","C7H7NO4",169.13,-0.1,2,5
18,"C(C(C(C(=O)C(=O)C(=O)O)O)O)O","4,5,6-trihydroxy-2,3-dioxohexanoic acid","2,3-dioxo-L-gulonic","C6H8O7",192.12,-1.8,4,7
19,"C1=CC(=C(C(=C1)O)O)C(=O)O","2,3-dihydroxybenzoic acid","2,3-Dihydroxybenzoic acid","C7H6O4",154.12,1.200,3,4
20,"C1=CC(=C(C(=C1)O)O)CCC(=O)O","3-(2,3-dihydroxyphenyl)propanoic acid","3-(2,3-Dihydroxyphenyl)propanoic acid","C9H10O4",182.17,1.0,3,4
21,"CCC(C(=O)C)(C(=O)O)O","2-ethyl-2-hydroxy-3-oxobutanoic acid","2-Aceto-2-hydroxybutanoate","C6H10O4",146.14,-0.200,2,4
22,"CC(=O)C(C)(C(=O)O)O","2-hydroxy-2-methyl-3-oxobutanoic acid","2-Acetolactate","C5H8O4",132.11,-0.7,2,4
23,"C(=CC(=C(C(=O)O)N)C(=O)O)C=O","2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid","1-Amino-4-formyl-1,3-butadiene-1,2-dicarboxylic acid","C7H7NO5",185.13,-0.5,3,6
24,"C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O","2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one","2-Amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one","C9H17N5O8",323.26,-4.5,9,11
25,"C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O","2-amino-7,8-dihydroxy-6-(1,2,3-trihydroxypropyl)-1,5,6,7-tetrahydropteridin-4-one","","C9H15N5O6",289.25,-3.3,8,8
26,"CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O","1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione","1-(2-Amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione","C9H11N5O5",269.21,-2.7,4,8
27,"C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O","[[3-(2-amino-7,8-dihydroxy-4-oxo-1,7-dihydropteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate","","C9H16N5O15P3",527.17,-6.9,10,17
28,"C(=CC(=O)O)C=C(C(=O)O)N","2-aminohexa-2,4-dienedioic acid","2,4-Hexadienedioicacid, 2-amino-","C6H7NO4",157.12,-0.3,3,5
29,"C(=O)C(C(=O)O)N","2-amino-3-oxopropanoic acid","3-Oxoalanine","C3H5NO3",103.08,-3.7,2,4
30,"C(=CC=O)C=C(C(=O)O)N","2-amino-6-oxohexa-2,4-dienoic acid","2-Amino-6-oxohexa-2,4-dienoic acid","C6H7NO3",141.12,-0.3,2,4
31,"CC(CO)(C(COP(=O)(O)O)O)O","(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate","(2,3,4-Trihydroxy-3-methylbutyl) dihydrogen phosphate","C5H13O7P",216.13,-3.3,5,7
32,"C(=CC(=O)O)C=C(C(=O)O)C(=O)O","buta-1,3-diene-1,1,4-tricarboxylic acid","Buta-1,3-diene-1,1,4-tricarboxylic acid","C7H6O6",186.12,1.0,3,6
33,"C(C=O)Cl","2-chloroacetaldehyde","Chloroacetaldehyde","C2H3ClO",78.50,0.3,0,1
34,"C(CCl)O","2-chloroethanol","2-Chloroethanol","C2H5ClO",80.51,-0.100,1,1
35,"C1=CC(OC1=O)(CC(=O)O)Cl","2-(2-chloro-5-oxofuran-2-yl)acetic acid","(2-Chloro-5-oxo-2,5-dihydro-2-furyl)acetic acid","C6H5ClO4",176.55,0.3,1,4
36,"CC(C)C(C(C(=O)O)O)C(=O)O","2-hydroxy-3-propan-2-ylbutanedioic acid","2-Hydroxy-3-isopropylsuccinic acid","C7H12O5",176.17,0.0,3,5
37,"C(C(C(CO)O)O)C(=O)C(=O)O","4,5,6-trihydroxy-2-oxohexanoic acid","3-Deoxy-2-keto-D-gluconate lithium salt","C6H10O6",178.14,-2.3,4,6
38,"CC(C)(CO)C(=O)C(=O)O","4-hydroxy-3,3-dimethyl-2-oxobutanoic acid","2-Dehydropantoate","C6H10O4",146.14,-0.1,2,4
39,"CC1(COC(=O)C1=O)C","4,4-dimethyloxolane-2,3-dione","Dihydro-4,4-dimethyl-2,3-Furandione","C6H8O3",128.13,0.6,0,3
40,"C1C(C(C(OC1O)CO)O)O","6-(hydroxymethyl)oxane-2,4,5-triol","2-Deoxyhexopyranose","C6H12O5",164.16,-1.6,4,5
41,"CSCCC(=O)C(=COP(=O)(O)O)O","(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate","1-Penten-3-one, 2-hydroxy-5-(methylthio)-1-(phosphonooxy)-","C6H11O6PS",242.19,-1.0,3,7
42,"C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O","2-hydroxy-6-oxonona-2,4-dienedioic acid","2-Hydroxy-6-oxonona-2,4-dienedioic acid","C9H10O6",214.17,-0.4,3,6
43,"C(CC(=O)O)C(C(=O)O)O","2-hydroxypentanedioic acid","2-Hydroxyglutaric acid","C5H8O5",148.11,-1.0,3,5
44,"C(C(=O)[O-])(C(=O)[O-])O","2-hydroxypropanedioate","Tartronate","C3H2O5-2",118.04,0.2,1,5
45,"C(C(=O)O)(C(=O)O)O","2-hydroxypropanedioic acid","Tartronic acid","C3H4O5",120.06,-1.1,3,5
46,"C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O","4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid","4,5-Dihydroxy-2-oxo-6-phosphonooxyhexanoic acid","C6H11O9P",258.12,-3.4,5,9
47,"CCC(C)C(=O)C(=O)O","3-methyl-2-oxopentanoic acid","3-Methyl-2-oxovaleric acid","C6H10O3",130.14,1.1,1,3
48,"C(CC(=O)N)C(=O)C(=O)O","5-amino-2,5-dioxopentanoic acid","alpha-Ketoglutaramate","C5H7NO4",145.11,-1.5,2,4
49,"CC(C)C(=O)C(=O)O","3-methyl-2-oxobutanoic acid","3-Methyl-2-oxobutanoic acid","C5H8O3",116.11,0.7,1,3
50,"C(C(C(C(C(=O)C(=O)O)O)O)O)O","3,4,5,6-tetrahydroxy-2-oxohexanoic acid","2-keto-L-gluconate","C6H10O7",194.14,-2.9,5,7
51,"C(CC(=O)O)C(=O)C(=O)O","2-oxopentanedioic acid","2-Oxoglutaric acid","C5H6O5",146.10,-0.9,2,5
52,"CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate","(2S,3R)-3-Hydroxy-2-methylbutanoyl-CoA","C26H44N7O18P3S",867.7,-5.4,10,23
53,"CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate","alphamethylacetoacetyl CoA","C26H42N7O18P3S",865.6,-5.2,9,23
54,"CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate","C26H44N7O17P3S",851.7,-4.2,9,22
55,"CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C","3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol","3-(3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol","C46H70O2",655.0,16.1,2,2
