"Source Name","Live Substance Count","On-Hold Substance Count","Source Category","Source URL","DSN","Organization","Contact Full Name","Address","City","State","Postcode","Country","Last Update"
"001Chemical",155730,"","Chemical Vendors","https://www.001chemical.com",23188,"001CHEMICAL","001 Chemical","Joinhands Sci Park, High-tech Industrial Development Zone","Hangzhou","Zhejiang",310053,"China","2021/11/05"
"3A SpeedChemical Inc",4931,"","Chemical Vendors","http://www.speedchemical.com",10636,"3A SpeedChemical Inc","Wilson Tean","R901, Suite 12, 1318 Changlin Road, Baoshan District","Shanghai","Shanghai",200443,"China","2015/04/06"
"3B Scientific (Wuhan) Corp",89740,"","Chemical Vendors","http://www.3bsc.com",20980,"3B Scientific (Wuhan) Corporation Limited","Feng Chen","Xudong dajie","Wuhan","Hubei",430070,"China","2020/05/20"
"3WAY PHARM INC",118215,"","Chemical Vendors","http://www.3wpharm.com/",24479,"3WAY PHARM INC","Yonghong Liang","Building 4-401, No. 1688, Wangfan Road, Minhang District","Shanghai","Shanghai",201112,"China","2020/12/08"
"4C Pharma Scientific Inc",20187,"","Chemical Vendors, Legacy Depositors","http://www.4cpharmainc.com",10593,"4C Pharma Scientific Inc","Michael Hsiung","21 Clairfields Drive West","Guelph","Ontario","N1G 5J2","Canada","2015/03/04"
"A&J Pharmtech CO., LTD.",184005,"","Chemical Vendors, Legacy Depositors","http://www.ajpharmtech.com/",5545,"A&J Pharmtech CO., LTD.","Michael Li","538 Xushi Road , Suzhou wuzhong District, Jiangsu","suzhou","jiangsu",215164,"China","2015/01/07"
"A1 BioChem Labs",41095,"","Chemical Vendors","https://www.a1biochemlabs.com/",10602,"A1 BioChem Labs","EJ Lawton","5598 Marvin K Moss Lane","Wilmington","NC",28409,"United States","2022/02/02"
"A2B Chem",643067,"","Chemical Vendors","http://www.a2bchem.com",23562,"A2B Chem LLC","Nick Tam","9823 Pacific Heights Blvd., Suite F-2","San Diego","CA",92121,"United States","2021/10/01"
"A2Z Chemical",8470,"","Chemical Vendors","http://www.a2zchemical.com",10619,"WBR Laboratories, Inc.","Jim Zhu","9891 Irvine Center Dr. Suite 200","Irvine","CA",92618,"United States","2016/03/09"
"AA BLOCKS",649023,"","Chemical Vendors","http://www.aablocks.com",21014,"AA BLOCKS LLC","James Wu","11575 Sorrento Valley Road, Suite 209","San Diego","CA",92121,"United States","2021/09/09"
